Subject,Gender,Year,Number Sat,% of Total No. Sat,A*,A,B,C,D,E,F,G,U
Art & Design,Male,2012,61274,2.4,5.5,9.4,19.3,30.9,16.3,9.7,5.6,2.3,1
Art & Design,Male,2011,64907,2.6,5.3,9.9,19.3,30.6,16.4,9.8,5.4,2.4,0.9
Art & Design,Female,2012,117621,4.4,12,17.5,26.8,26.9,9.9,4.1,1.9,0.6,0.3
Art & Design,Female,2011,118329,4.5,11.3,18.5,26.4,26.3,9.9,4.5,2.1,0.7,0.3
Art & Design,Male & Female,2012,178895,3.4,9.8,14.7,24.2,28.3,12.1,6,3.2,1.2,0.5
Art & Design,Male & Female,2011,183236,3.6,9.2,15.4,23.9,27.8,12.3,6.3,3.3,1.3,0.5
Addit. Science,Male,2012,141668,5.5,3,8.2,19.7,32.6,21.1,9.1,4,1.6,0.7
Addit. Science,Male,2011,149748,5.9,3.5,8.6,19.1,32.3,20.6,9.2,4.2,1.7,0.8
Addit. Science,Female,2012,148282,5.6,4.4,10.9,22.5,31.4,18.3,7.5,3.2,1.2,0.6
Addit. Science,Female,2011,156564,6,5.2,11,21.5,31,18.2,7.8,3.3,1.3,0.7
Addit. Science,Male & Female,2012,289950,5.5,3.7,9.6,21.1,32,19.7,8.3,3.6,1.3,0.7
Addit. Science,Male & Female,2011,306312,5.9,4.4,9.8,20.3,31.7,19.3,8.5,3.8,1.5,0.7
Biology,Male,2012,86647,3.4,15.7,27.6,29.7,19.2,6,1.2,0.4,0.1,0.1
Biology,Male,2011,77877,3.1,17.5,27.9,29.3,18.3,5.2,1.1,0.4,0.2,0.1
Biology,Female,2012,79521,3,19.9,29.5,27.4,16.2,5.2,1.1,0.4,0.2,0.1
Biology,Female,2011,70027,2.7,21.7,29.4,26.4,15.8,4.7,1.2,0.4,0.2,0.2
Biology,Male & Female,2012,166168,3.2,17.7,28.5,28.7,17.7,5.6,1.2,0.3,0.2,0.1
Biology,Male & Female,2011,147904,2.9,19.5,28.6,27.9,17.1,5,1.2,0.4,0.2,0.1
Business & Comm. Syst.,Male,2012,8034,0.3,1.8,8.7,18.8,23.5,19.4,13.2,7.5,4.7,2.4
Business & Comm. Syst.,Male,2011,9518,0.4,1.8,9.6,19.8,23.2,18.1,12,7.6,4.6,3.3
Business & Comm. Syst.,Female,2012,7569,0.3,4.5,15.9,24.9,22.8,15.1,8.8,4.5,2.2,1.3
Business & Comm. Syst.,Female,2011,9121,0.3,4.7,16.6,25.3,23.1,13.7,8.1,4.5,2.4,1.6
Business & Comm. Syst.,Male & Female,2012,15603,0.3,3.1,12.2,21.7,23.2,17.3,11.1,6,3.5,1.9
Business & Comm. Syst.,Male & Female,2011,18639,0.4,3.2,13,22.5,23.2,15.9,10.1,6.1,3.5,2.5
Business ,Male,2012,41842,1.6,3,14.2,24.1,24.3,16.7,8.7,5,2.5,1.5
Business ,Male,2011,41090,1.6,3.5,14.3,24.4,23.5,15.2,9,5.3,3.1,1.7
Business ,Female,2012,28631,1.1,4.3,17.6,25.6,22.7,14.9,7.5,4.3,1.9,1.2
Business ,Female,2011,28502,1.1,4.9,17.4,25.1,22.4,14,8.2,4.5,2.3,1.2
Business ,Male & Female,2012,70473,1.3,3.5,15.6,24.8,23.6,15.9,8.3,4.6,2.4,1.3
Business ,Male & Female,2011,69592,1.4,4.1,15.5,24.7,23.1,14.7,8.6,5,2.8,1.5
Chemistry,Male,2012,84372,3.3,19.1,26.6,27.6,19,6.1,1.2,0.2,0.1,0.1
Chemistry,Male,2011,75807,3,20.1,27,26.3,19.1,5.9,1.1,0.3,0.1,0.1
Chemistry,Female,2012,74754,2.8,22.5,28.6,26.4,16.3,4.9,1,0.2,0,0.1
Chemistry,Female,2011,65917,2.5,24.3,28.4,25.2,16,4.8,0.9,0.2,0.1,0.1
Chemistry,Male & Female,2012,159126,3,20.7,27.5,27.1,17.7,5.6,1,0.3,0,0.1
Chemistry,Male & Female,2011,141724,2.8,22,27.7,25.8,17.6,5.4,1.1,0.2,0.1,0.1
Citizenship ,Male,2012,5290,0.2,1.5,9.4,20.7,26.6,19.2,11.1,6.5,3.2,1.8
Citizenship ,Male,2011,4199,0.2,1.3,8.2,20.7,26.6,18.7,12.5,6.7,3.2,2.1
